0 -60 -60 0 0 0 0 0 0 0 0 
0.30000001 -59.872353 -59.975506 0.00031586498 0.093661413 0.00014342486 0.0037998795 0.0057261568 6.7739597e-10 5.4191673e-10 1.0852154e-07 
0.60000002 -59.770882 -59.918957 0.0018648672 0.17806846 0.00027312909 0.006605709 0.008431606 6.8913582e-09 5.5130864e-09 9.4342948e-07 
0.89999998 -59.679501 -59.845409 0.0050073802 0.25415295 0.00039025719 0.0086713452 0.0096578868 2.6840405e-08 2.1472324e-08 2.9016428e-06 
1.2 -59.589924 -59.763119 0.0097270636 0.3227905 0.00049620197 0.010203014 0.010248396 6.998178e-08 5.5985424e-08 5.9812078e-06 
1.5 -59.499115 -59.675632 0.015793495 0.38476962 0.00059240521 0.011351388 0.010555774 1.454945e-07 1.163956e-07 1.0002754e-05 
1.8 -59.405781 -59.584713 0.022980884 0.44076505 0.00068013911 0.012224277 0.010752515 2.6085021e-07 2.0868018e-07 1.4826138e-05 
2.0999999 -59.309616 -59.49123 0.031033816 0.4913716 0.00076053734 0.012899124 0.010908886 4.2203214e-07 3.3762572e-07 2.0312662e-05 
2.4000001 -59.210758 -59.395508 0.039729744 0.53711867 0.00083460193 0.01342986 0.011043405 6.3355566e-07 5.0684451e-07 2.63251e-05 
2.7 -59.109371 -59.297691 0.048900176 0.57848364 0.00090321864 0.013855129 0.011162876 8.9873578e-07 7.1898859e-07 3.2751996e-05 
3 -59.005524 -59.197819 0.058449488 0.61587971 0.00096713228 0.014200024 0.011273236 1.2197585e-06 9.7580676e-07 3.9534891e-05 
3.3 -58.899284 -59.095951 0.068267308 0.64971727 0.0010270856 0.014490496 0.01137994 1.5988741e-06 1.2790993e-06 4.6612669e-05 
3.5999999 -58.790649 -58.992115 0.07828249 0.68034881 0.0010836994 0.014742381 0.011486962 2.0374785e-06 1.6299828e-06 5.3953681e-05 
3.9000001 -58.679596 -58.886272 0.088445231 0.70807308 0.0011374933 0.014965294 0.011595394 2.5363988e-06 2.0291191e-06 6.1533436e-05 
4.1999998 -58.566093 -58.778397 0.098700784 0.73319978 0.001189011 0.015171109 0.01170718 3.0966544e-06 2.4773235e-06 6.9330476e-05 
4.5 -58.450062 -58.668396 0.10902807 0.75597149 0.0012386703 0.015364069 0.011821978 3.7185741e-06 2.9748594e-06 7.7335644e-05 
4.8000002 -58.331367 -58.556149 0.11941668 0.77659452 0.0012868373 0.015547692 0.011939979 4.402435e-06 3.5219482e-06 8.5549953e-05 
5.0999999 -58.209911 -58.441544 0.12984863 0.79529637 0.001333911 0.015726503 0.012061382 5.1486004e-06 4.11888e-06 9.3969225e-05 
5.4000001 -58.085522 -58.324432 0.14032191 0.81226885 0.0013802391 0.015903512 0.012186402 5.9573704e-06 4.7658964e-06 0.00010260115 
5.6999998 -57.95797 -58.204609 0.15085386 0.82766116 0.0014261084 0.016079981 0.012315319 6.8289842e-06 5.4631873e-06 0.00011146881 
6 -57.827065 -58.081905 0.16144773 0.84164977 0.001471845 0.016258217 0.012448324 7.763706e-06 6.2109652e-06 0.00012058522 
6.3000002 -57.692486 -57.956116 0.17209408 0.85435069 0.0015177194 0.016439361 0.012585957 8.7619128e-06 7.0095302e-06 0.00012995812 
6.5999999 -57.553947 -57.827019 0.18280448 0.86588949 0.0015639963 0.016624093 0.012728566 9.8238625e-06 7.8590901e-06 0.00013961033 
6.9000001 -57.411079 -57.694328 0.19358665 0.87637424 0.0016109499 0.016813423 0.012876564 1.0949955e-05 8.7599647e-06 0.00014956386 
7.1999998 -57.263454 -57.557716 0.20444988 0.8859002 0.0016588548 0.017008375 0.013030381 1.2140655e-05 9.7125239e-06 0.00015984359 
7.5 -57.1106 -57.416832 0.21540669 0.89454728 0.0017079693 0.01720926 0.013190555 1.3396418e-05 1.0717135e-05 0.00017048002 
7.8000002 -56.951756 -57.271084 0.22647807 0.90242928 0.0017587177 0.017418798 0.013357876 1.4718152e-05 1.1774521e-05 0.00018151596 
8.1000004 -56.786369 -57.120064 0.23767944 0.90959388 0.0018113328 0.017636791 0.013532917 1.6106374e-05 1.28851e-05 0.00019298977 
8.3999996 -56.613773 -56.963272 0.24903029 0.91608894 0.0018660921 0.017863555 0.013716362 1.7561761e-05 1.4049408e-05 0.00020494737 
8.6999998 -56.433086 -56.80006 0.2605485 0.92196214 0.0019233444 0.018099852 0.013909074 1.9085148e-05 1.5268119e-05 0.0002174393 
9 -56.242615 -56.62923 0.27223724 0.92731756 0.0019838223 0.018349657 0.014112636 2.0678022e-05 1.6542417e-05 0.0002305191 
9.3000002 -56.041615 -56.450226 0.28412297 0.93215203 0.0020477411 0.018612174 0.014327783 2.2341104e-05 1.7872884e-05 0.00024425113 
9.6000004 -55.828888 -56.262184 0.29622519 0.93648553 0.002115516 0.01888819 0.014555652 2.407548e-05 1.9260384e-05 0.00025870505 
9.8999996 -55.602242 -56.063641 0.30857885 0.94035089 0.0021878826 0.019179819 0.01479834 2.5882622e-05 2.0706098e-05 0.00027398727 
10.2 -55.356091 -55.851124 0.32127267 0.94385731 0.0022667104 0.0194942 0.015061243 2.7765243e-05 2.2212194e-05 0.00029032593 
10.5 -55.089268 -55.623764 0.33432442 0.94698375 0.0023523518 0.019831425 0.015345431 2.9724522e-05 2.3779618e-05 0.00030782114 
10.8 -54.79858 -55.379486 0.3477836 0.94974905 0.0024458258 0.02019449 0.015653938 3.1762393e-05 2.5409914e-05 0.000326651 
11.1 -54.478851 -55.115162 0.36170873 0.95217037 0.0025486962 0.02058775 0.01599114 3.3881217e-05 2.7104972e-05 0.0003470481 
